type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=200]r,,,ComErrorDelay,default *r,,,b509,0d4300,value,,UIN,,Control interface,
[id_sw>=200]w,,service,ComErrorDelay,"default *ws for user level ""service""",,,b509,0e4300,value,,UIN,,Control interface,
r,,,SoftwareVersion,default *r,,,b509,0d0000,value,,HEX:4,,,
w,,install,SoftwareVersion,"default *wi for user level ""install""",,,b509,0e0000,value,,HEX:4,,,
r,,,EnableMonitoring,default *r,,,b509,0d0100,value,,HEX:5,,,
w,,install,EnableMonitoring,"default *wi for user level ""install""",,,b509,0e0100,value,,HEX:5,,,
r,,,FlexibleMonitoring,default *r,,,b509,0d0200,value,,HEX:8,,,
w,,install,FlexibleMonitoring,"default *wi for user level ""install""",,,b509,0e0200,value,,HEX:8,,,
r,,,DataCollectionRequest,default *r,,,b509,0d0300,value,,UCH,,,
w,,install,DataCollectionRequest,"default *wi for user level ""install""",,,b509,0e0300,value,,UCH,,,
r,,,DataCollectionBuffer,default *r,,,b509,0d0400,value,,UCH,,,
w,,install,DataCollectionBuffer,"default *wi for user level ""install""",,,b509,0e0400,value,,UCH,,,
r,,,DataCollCycle,default *r,,,b509,0d0500,value,,ULG,,,
w,,install,DataCollCycle,"default *wi for user level ""install""",,,b509,0e0500,value,,ULG,,,
r,,,DataCollBufSize,default *r,,,b509,0d0600,value,,ULG,,,
w,,install,DataCollBufSize,"default *wi for user level ""install""",,,b509,0e0600,value,,ULG,,,
r,,,EnableBcErrMsg,Enable broadcast error messages,,,b509,0d0700,value,,UCH,0=no;1=yes,,Brodcast error messages on the eBUS will be send to the server
w,,install,EnableBcErrMsg,Enable broadcast error messages,,,b509,0e0700,value,,UCH,0=no;1=yes,,Brodcast error messages on the eBUS will be send to the server
r,,,BoxSerialNumber1,default *r,,,b509,0d0800,value,,HEX:9,,,
w,,install,BoxSerialNumber1,"default *wi for user level ""install""",,,b509,0e0800,value,,HEX:9,,,
r,,,BoxSerialNumber2,default *r,,,b509,0d0900,value,,HEX:9,,,
w,,install,BoxSerialNumber2,"default *wi for user level ""install""",,,b509,0e0900,value,,HEX:9,,,
r,,,BoxSerialNumber3,default *r,,,b509,0d0a00,value,,HEX:9,,,
w,,install,BoxSerialNumber3,"default *wi for user level ""install""",,,b509,0e0a00,value,,HEX:9,,,
r,,,BoxSerialNumber4,default *r,,,b509,0d0b00,value,,HEX:9,,,
w,,install,BoxSerialNumber4,"default *wi for user level ""install""",,,b509,0e0b00,value,,HEX:9,,,
r,,,DeviceLayout,Device Layout,,,b509,0d0c00,value,,UCH,0=_unknown;1=JV_PC;2=H2B;3=_1_16;4=complex;5=eBUSheater,,Type of Interface which will be used and definition of appliance
w,,install,DeviceLayout,Device Layout,,,b509,0e0c00,value,,UCH,0=_unknown;1=JV_PC;2=H2B;3=_1_16;4=complex;5=eBUSheater,,Type of Interface which will be used and definition of appliance
r,,,DeviceLayoutCRC,Layout Checksum,,,b509,0d0d00,value,,UCH,,,Checksum over all devives connected to vrnetDIALOG. Will be used from the server to find out if new devices added or devices are deleted
